,state,capitals,x,y
0,Andhra Pradesh,Amaravati,-55.0,-152.0
1,Arunachal Pradesh,Itanagar,199.0,110.0
2,Assam,Dispur,163.0,66.0
3,Bihar,Patna,66.0,46.0
4,Chhattisgarh,Raipur,-16.0,-32.0
5,Goa,Panaji,-151.0,-149.0
6,Gujarat,Gandhinagar,-201.0,-1.0
7,Haryana,Chandigarh,-99.0,117.0
8,Himachal Pradesh,Shimla,-80.0,167.0
9,Jharkhand,Ranchi,45.0,2.0
10,Karnataka,Bengaluru,-135.0,-169.0
11,Kerala,Thiruvananthapuram,-123.0,-259.0
12,Madhya Pradesh,Bhopal,-113.0,1.0
13,Maharashtra,Mumbai,-150.0,-81.0
14,Manipur,Imphal,201.0,26.0
15,Meghalaya,Shillong,133.0,44.0
16,Mizoram,Aizawl,172.0,-16.0
17,Nagaland,Kohima,208.0,60.0
18,Odisha,Bhubaneswar,29.0,-52.0
19,Punjab,Chandigarh,-128.0,150.0
20,Rajasthan,Jaipur,-183.0,71.0
21,Sikkim,Gangtok,90.0,105.0
22,Tamil Nadu,Chennai,-81.0,-237.0
23,Telangana,Hyderabad,-74.0,-102.0
24,Tripura,Agartala,140.0,7.0
25,Uttar Pradesh,Lucknow,-51.0,79.0
26,Uttarakhand,Dehradun (Winter) Gairsain (Summer),-66.0,135.0
27,West Bengal,Kolkata,82.0,6.0
28,Andaman & Nicobar Islands,Port Blair,146.0,-210.0
29,Chandigarh,Chandigarh,-85.0,142.0
30,Dadra & Nagar Haveli & Daman & Diu,Daman,-194.0,-50.0
31,Delhi,New Delhi,-80.0,101.0
32,Jammu & Kashmir,Srinagar (Summer) Jammu (Winter),-190.0,201.0
33,Lakshadweep,Kavaratti,-230.0,-247.0
34,Puducherry,Pondicherry,-115.0,-226.0
35,Ladakh,Leh,-104.0,229.0
